Country,Year,PM2.5,PM10,TotalDeaths,PMDeaths,CitiesCount
Albania,2015,21.79,32.415,42.299772755674304,21.78608861129629,2
Albania,2016,21.48,32.385,41.018787963433525,20.81066376804032,2
Argentina,2015,10.26,27.87,33.08692384629538,29.159094224989484,1
Australia,2010,8.040000000000001,15.323333333333332,13.571712560243794,13.140379576668655,3
Australia,2011,7.316666666666666,14.443333333333333,13.727625894372272,13.276676383296268,3
Australia,2012,8.64,17.392,12.659725312034098,12.19640123807735,5
Australia,2013,7.99,18.50142857142857,11.874490468309276,11.38415360928848,14
Australia,2014,7.555789473684211,17.872105263157895,11.472679444134,10.93949093424054,19
Australia,2015,7.07842105263158,17.774736842105263,11.27679379229225,10.702071746128466,19
Australia,2016,6.742631578947369,16.61315789473684,10.586439853479725,9.974549114246544,19
Australia,2017,7.28,17.87333333333333,10.7959518274071,10.128110587358444,3
Austria,2010,18.35727272727273,25.29,21.83879849740685,19.571471794424067,11
Austria,2013,15.686190476190477,21.776190476190475,19.715039774882698,17.56908640311666,21
Austria,2014,12.835769230769232,18.46846153846154,18.87390394474481,16.756504434624894,26
Austria,2015,13.644499999999999,18.8565,18.85776731859494,16.74104005550154,20
Austria,2016,12.1028125,17.261875,17.812976640233504,15.722648835617465,32
Austria,2017,12.524705882352942,17.543529411764705,17.58634934991682,15.51928800519801,34
Bahrain,2012,57.8975,267.43,69.80218795071151,66.77211930616417,4
Bangladesh,2010,92.65,173.4,139.48625909238407,48.08127691858624,4
Bangladesh,2011,101.475,139.25,131.27460117299978,46.17386499983831,4
Bangladesh,2012,100.975,168.05,123.99714661505664,45.0787738104845,4
Bangladesh,2013,76.2475,129.3475,118.84306236582069,42.28287384920524,8
Bangladesh,2014,75.16125,143.5125,117.29326346602458,44.11745159946499,8
Bangladesh,2015,78.16714285714285,129.00714285714284,113.29674354072166,43.27029063806848,7
Bangladesh,2016,69.59,124.47200000000001,109.40404314209873,40.63233232106592,5
Bangladesh,2017,50.25111111111111,126.70444444444443,108.52547816698328,41.4853792514822,9
Belgium,2010,16.313157894736843,24.26842105263158,24.672413071898163,22.430604617620425,19
Belgium,2013,14.81,22.19214285714286,21.94982241716799,19.759611058145435,28
Belgium,2014,12.076451612903226,19.309354838709677,20.193664782882077,18.09862650832561,31
Belgium,2015,12.621702127659574,20.483191489361705,20.47646878669515,18.359439585117325,47
Belgium,2016,12.433829787234043,19.815744680851065,19.272908553596015,17.199824343490864,47
Belgium,2017,12.07911111111111,19.540666666666667,19.127512733372576,17.060459664309363,45
Bosnia and Herzegovina,2016,32.965,43.489999999999995,58.97572422446513,34.09491768392757,2
Bosnia and Herzegovina,2017,32.56,40.45,58.07743401399994,34.10666537187964,1
Brazil,2010,16.776666666666667,36.20666666666667,37.874797243782695,26.524039029783395,3
Brazil,2011,15.646,35.838,37.33320600993482,26.69407398623549,5
Brazil,2012,17.125,37.225,35.39068712491836,25.550882257436548,4
Brazil,2013,14.637500000000001,37.178333333333335,33.99981601665662,24.81497186669765,12
Brazil,2014,16.46,41.906666666666666,32.431550097025244,23.91156465991439,15
Brazil,2015,12.635,39.945,31.51608976332567,23.4451488834162,10
Brazil,2016,14.9,29.8125,30.349578155443645,22.62249598393088,4
Bulgaria,2010,23.8475,44.21875,60.964684936555,45.57484135894632,8
Bulgaria,2013,19.955714285714286,39.07285714285714,53.95632419056752,40.63429579164613,7
Bulgaria,2014,21.735714285714288,38.48142857142857,55.19135623908331,41.67360830843306,7
Bulgaria,2015,25.775,38.055,53.667068442388114,40.97743569868924,4
Bulgaria,2016,19.228,33.660000000000004,51.77971020509638,39.202049093478,5
Bulgaria,2017,19.565714285714286,30.678571428571427,51.39213644722451,39.32109162274384,7
Cameroon,2012,82.66666666666667,103.66666666666667,133.5273665117491,49.11623156996827,3
Canada,2013,6.938,12.8995,12.975014081314262,11.410021262342486,20
Canada,2015,6.822380952380952,12.979523809523808,12.217926497625726,10.609096875802283,21
Canada,2016,5.608695652173913,12.38391304347826,11.002674780961692,9.397502530791416,23
Canada,2017,7.444444444444445,15.101666666666667,10.716618413539726,9.110733440276666,18
Chile,2010,25.83818181818182,62.35272727272727,29.42403773085152,24.398330191769958,11
